folder,img,face,det_score,w,h,blur,brightness,color_vs_bw_self
enrollment,person1_photo1.jpg,0,0.517,1048,1364,968.0,81.2,0.959
enrollment,person2_photo1.jpg,0,0.876,827,1246,377.1,122.8,0.973
ep_ceiling_color,img1.jpg,0,0.767,93,140,543.9,140.1,0.951
ep_ceiling_color,img1.jpg,1,0.665,72,52,46.5,56.3,0.726
ep_ceiling_color,img1.jpg,2,0.588,62,110,188.9,119.5,0.849
ep_ceiling_color,img2.jpg,0,0.751,78,94,176.7,110.8,0.943
ep_ceiling_color,img2.jpg,1,0.7,125,160,686.8,119.4,0.951
ep_ceiling_color,img3.jpg,0,0.763,79,94,190.4,102.3,0.939
ep_ceiling_color,img3.jpg,1,0.679,132,168,754.2,125.9,0.94
ep_ceiling_color,img4.jpg,0,0.883,71,85,133.2,83.6,0.963
ep_ceiling_color,img4.jpg,1,0.735,100,130,432.1,144.6,0.928
ep_ir_screen,img1.jpg,0,0.785,260,328,789.3,121.8,0.997
ep_ir_screen,img1.jpg,1,0.746,48,65,228.6,139.5,0.995
ep_ir_screen,img1.jpg,2,0.648,155,218,149.5,142.6,0.998
ep_ir_screen,img2.jpg,0,0.715,253,343,1568.1,132.3,0.998
ep_ir_screen,img3.jpg,0,0.784,103,113,14.3,40.3,0.999
ep_ir_screen,img3.jpg,1,0.763,156,212,1414.9,155.7,0.998
ep_modern_osd,img1.jpg,0,0.902,101,121,135.1,157.9,0.948
ep_modern_osd,img1.jpg,1,0.821,66,78,101.5,119.2,0.962
ep_modern_osd,img1.jpg,2,0.783,68,72,212.9,120.7,0.915
ep_modern_osd,img1.jpg,3,0.651,114,127,234.8,152.6,0.805
ep_modern_osd,img2.jpg,0,0.904,103,120,364.6,156.3,0.967
ep_modern_osd,img2.jpg,1,0.815,56,74,84.0,110.4,0.957
ep_modern_osd,img2.jpg,2,0.765,68,72,77.2,128.2,0.87
ep_modern_osd,img2.jpg,3,0.66,104,133,214.4,159.9,0.822
ep_modern_osd,img3.jpg,0,0.826,113,166,2804.9,122.6,0.928
ep_modern_osd,img3.jpg,1,0.802,86,95,970.5,108.7,0.861
